meal_request_id,user_id,name,meal_occasion,required_categories,target_item,recommended_meals,goodness,avg_redundancy,avg_setsize,avg_coverage,avg_krobust,avg_dm_proxy,avg_mc_proxy,avg_uc_proxy
0,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Coffee,"[['Coffee', 'Cheesy Bean Rice Burrito', 'Egg In An Avocado Hole', 'Hot Chocolate'], ['Coffee', 'Chocolate Peanut Butter', 'Lemonade', 'Egg Bundles'], ['Coffee', 'Egg Drop Chicken Noodle Soup', 'Delicious Chocolate Bark Recipe', 'Apple Juice'], ['Coffee', 'Cheesy Bean Rice Burrito', 'Pepsi', 'Breakfast Burrito'], ['Coffee', 'Peekaboo Sugar Eggs', 'Chai Latte', 'Honey Vanilla Almond Cake'], ['Coffee', 'Quarter Pounder', 'Chai Latte', 'Peekaboo Sugar'], ['Coffee', 'Bean Burrito Copycat', 'Cappuccino', 'My Scotch Eggs'], ['Coffee', 'Soft Taco Beef', 'Black Bean Chalupa Copycat', 'Egg Bundles'], ['Coffee', 'Veggie Power Bowl', 'Breakfast Burrito', 'Bacon And Egg Pie'], ['Coffee', 'Nacho Bell Grande Beef', 'Pumpkin Soup', 'Maple Oatmeal']]","[0.833333, 0.833333, 0.833333, 0.833333, 0.833333, 0.833333, 0.833333, 0.75, 0.75, 0.75]",0.7,1.0,1.0,1.0,1.0,1.0,0.425
1,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Tea,"[['Tea', 'Quarter Pounder', 'Dinosaur Inspired By Mikeasaurus', 'Milk'], ['Tea', 'How To Make Chinese Egg Tarts', 'Bean Burrito Copycat', 'Smoothie'], ['Tea', 'Tomato Juice', 'How To Make Egg Salad', 'Orange Juice'], ['Tea', 'Baklava', 'Fruit Punch', 'Apple Juice'], ['Tea', 'Water', 'German Rhubarb Cake With Meringue Topping (omas Rhabarberkuchen Mit Baiser)', 'Mcgriddle'], ['Tea', 'Chocolate Peanut Butter', 'Mcdonaldâ€™s Bacon Ranch Mccrispy', 'Hot Chocolate'], ['Tea', 'Almond Milk', 'How To Make Chinese Egg Tarts', 'Big Mac'], ['Tea', 'Peekaboo Sugar', 'Cranberry Juice', 'Egg Bundles'], ['Tea', 'Sprite', 'Nacho Bell Grande Beef', 'Cola'], ['Tea', 'Big Mac', 'Pumpkin Soup', 'Egg Bundles']]","[0.833333, 0.833333, 0.916667, 0.916667, 0.833333, 0.833333, 0.833333, 0.833333, 0.916667, 0.75]",0.9,1.0,1.0,1.0,1.0,1.0,0.55
2,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Orange Juice,"[['Orange Juice', 'Soft Taco Beef', 'Bacon And Egg Pie', 'Lemonade'], ['Orange Juice', 'Coffee', 'Espresso', 'Ginger Ale'], ['Orange Juice', 'Coffee', 'Bacon Candy', 'Crunchwrap Supreme Copycat'], ['Orange Juice', 'Cappuccino', 'Apple Pie', 'Mini Egg Pie'], ['Orange Juice', 'Apple Juice', 'Honey Vanilla Almond Cake', 'Chocolate Peanut Butter'], ['Orange Juice', 'Water', 'Bacon Candy', 'Egg Mcmuffin'], ['Orange Juice', 'Cola', 'Pepsi', 'Egg Mcmuffin'], ['Orange Juice', 'Smoothie', 'Deviled Eggs With Smoked Salmon And Capers', 'Lite Fried Okra'], ['Orange Juice', 'Honey Vanilla Almond Cake', 'Bunny Egg Salad', 'Quesadilla Copycat'], ['Orange Juice', 'How To Make Chinese Egg Tarts', 'Mcdonaldâ€™s Bacon Ranch Mccrispy', 'Egg Mcmuffin']]","[0.833333, 1.0, 0.833333, 0.833333, 0.833333, 0.833333, 0.916667, 0.833333, 0.75, 0.75]",0.8,1.0,1.0,1.0,1.0,1.0,0.525
3,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Cola,"[['Cola', 'German Rhubarb Cake With Meringue Topping (omas Rhabarberkuchen Mit Baiser)', 'Tomato Juice', 'Milk'], ['Cola', 'Bunny Egg Salad', 'Bacon Candy', 'Orange Juice'], ['Cola', 'Smoothie', 'Honey Vanilla Almond Cake', 'Egg In An Avocado Hole'], ['Cola', 'Honey Vanilla Almond Cake', 'Espresso', 'Coffee'], ['Cola', 'Smoothie', 'Soft Taco Beef', 'Green Tea'], ['Cola', 'Quesadilla Copycat', 'Almond Milk', 'Iced Tea'], ['Cola', 'Eggs And Bacon The Perfect Quick Paleo Meal', 'Caramel Nut Tart', 'Iced Tea'], ['Cola', 'Breakfast Burrito', 'Bunny Egg Salad', 'Mcgriddle'], ['Cola', 'Cadbury Creme Egg Rolls', 'German Rhubarb Cake With Meringue Topping (omas Rhabarberkuchen Mit Baiser)', 'Peekaboo Sugar'], ['Cola', 'Crunchwrap Supreme Copycat', 'Lite Fried Okra', 'Bacon Asparagus And Egg Bake']]","[0.916667, 0.833333, 0.833333, 0.916667, 0.916667, 0.916667, 0.833333, 0.75, 0.75, 0.75]",0.7,1.0,1.0,1.0,1.0,1.0,0.525
4,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Water,"[['Water', 'Bacon Asparagus And Egg Bake', 'Iced Coffee', 'Bunny Egg Salad'], ['Water', 'Ginger Ale', 'Cola', 'Egg Drop Chicken Noodle Soup'], ['Water', 'Honey Vanilla Almond Cake', 'Apple Juice', 'Bacon And Egg Pie'], ['Water', 'Chocolate Peanut Butter', 'Quesadilla Copycat', 'Iced Coffee'], ['Water', 'Milk', 'Deviled Egg Salad', 'Crunchwrap Supreme Copycat'], ['Water', 'Chocolate Peanut Butter', 'Green Tea', 'Maple Oatmeal'], ['Water', 'Pepsi', 'Green Tea', 'Chai Latte'], ['Water', 'Peekaboo Sugar Eggs', 'Green Tea', 'Hot Tea'], ['Water', 'Chocolate Peanut Butter', 'Egg Mcmuffin', 'Peekaboo Sugar Eggs'], ['Water', 'How To Make Chinese Egg Tarts', '2 Ingredient Avocado Egg Salad', 'Maple Oatmeal']]","[0.833333, 0.916667, 0.833333, 0.833333, 0.833333, 0.833333, 1.0, 0.916667, 0.75, 0.75]",0.8,1.0,1.0,1.0,1.0,1.0,0.55
5,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Milk,"[['Milk', 'Hot Chocolate', 'Delicious Chocolate Bark Recipe', 'Green Tea'], ['Milk', 'Water', 'German Rhubarb Cake With Meringue Topping (omas Rhabarberkuchen Mit Baiser)', 'Mcdonaldâ€™s Bacon Ranch Mccrispy'], ['Milk', 'How To Make Egg Omelettes', 'Caramel Cappucino', 'Egg In An Avocado Hole'], ['Milk', 'Sweet Tea', 'Bacon Asparagus And Egg Bake', 'Cappuccino'], ['Milk', 'Bakedfriedpan Fried Scotch Egg', 'Chai Latte', 'Bacon Candy'], ['Milk', 'Bakedfriedpan Fried Scotch Egg', 'Nacho Bell Grande Beef', 'Tomato Juice'], ['Milk', 'My Scotch Eggs', 'Ginger Ale', 'Veggie Power Bowl'], ['Milk', 'How To Make Chinese Egg Tarts', 'Egg In An Avocado Hole', 'Bakedfriedpan Fried Scotch Egg'], ['Milk', 'Chocolate Peanut Butter', 'German Rhubarb Cake With Meringue Topping (omas Rhabarberkuchen Mit Baiser)', 'Quesadilla Copycat'], ['Milk', 'Bunny Egg Salad', 'Deviled Eggs With Smoked Salmon And Capers', 'Peekaboo Sugar']]","[0.916667, 0.833333, 0.833333, 0.916667, 0.833333, 0.833333, 0.833333, 0.75, 0.75, 0.75]",0.7,1.0,1.0,1.0,1.0,1.0,0.475
6,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Smoothie,"[['Smoothie', 'How To Make Egg Omelettes', 'Cranberry Juice', 'Mcdonaldâ€™s Bacon Ranch Mccrispy'], ['Smoothie', 'Sweet Tea', 'Sprite', 'Milk'], ['Smoothie', 'Orange Juice', 'Mini Egg Pie', 'Bacon Asparagus And Egg Bake'], ['Smoothie', 'Espresso', 'Milk', 'Peekaboo Sugar'], ['Smoothie', 'Water', 'Apple Juice', 'German Rhubarb Cake With Meringue Topping (omas Rhabarberkuchen Mit Baiser)'], ['Smoothie', 'How To Make Egg Salad', 'Crunchy Taco', 'Ginger Ale'], ['Smoothie', 'Lite Fried Okra', 'Bacon Asparagus And Egg Bake', 'Egg Filled Bread Roll'], ['Smoothie', 'Honey Vanilla Almond Cake', 'How To Make Egg Omelettes', 'Baklava'], ['Smoothie', 'Blt Quarter Punder', 'Deviled Eggs With Smoked Salmon And Capers', 'Dinosaur Inspired By Mikeasaurus'], ['Smoothie', 'Supremely Spicy Scrambled Eggs', 'Eggs And Bacon The Perfect Quick Paleo Meal', 'Quarter Pounder']]","[0.833333, 1.0, 0.833333, 0.916667, 0.916667, 0.833333, 0.75, 0.75, 0.75, 0.75]",0.6,1.0,1.0,1.0,1.0,1.0,0.5
7,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Lemonade,"[['Lemonade', 'Egg Filled Bread Roll', 'Deviled Egg Salad', 'Sprite'], ['Lemonade', 'Egg Bundles', 'Breakfast Burrito', 'Milk'], ['Lemonade', 'Deviled Eggs With Smoked Salmon And Capers', 'Bunny Egg Salad', 'Sweet Tea'], ['Lemonade', 'Maple Oatmeal', 'Pumpkin Soup', 'Hot Tea'], ['Lemonade', 'Coconut Water', 'Egg In An Avocado Hole', 'Cheesy Gordita Crunch Copycat'], ['Lemonade', 'Iced Coffee', 'Lite Fried Okra', 'Smoothie'], ['Lemonade', 'Bunny Egg Salad', 'Egg Bundles', 'Deviled Egg Salad'], ['Lemonade', 'Nacho Bell Grande Beef', 'Peekaboo Sugar Eggs', 'How To Make Egg Omelettes'], ['Lemonade', 'Deviled Egg Salad', 'Dinosaur Inspired By Mikeasaurus', 'Bacon Asparagus And Egg Bake'], ['Lemonade', 'Chocolate Peanut Butter', 'Deviled Egg Salad', 'Peekaboo Sugar']]","[0.833333, 0.833333, 0.833333, 0.833333, 0.833333, 0.916667, 0.75, 0.75, 0.75, 0.75]",0.6,1.0,1.0,1.0,1.0,1.0,0.425
8,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Iced Tea,"[['Iced Tea', 'Espresso', 'Hot Chocolate', 'Lite Fried Okra'], ['Iced Tea', 'Coffee', 'Hot Tea', 'Mini Egg Pie'], ['Iced Tea', 'Espresso', 'My Scotch Eggs', 'Pepsi'], ['Iced Tea', 'Apple Juice', 'Cheesy Bean Rice Burrito', 'Pumpkin Soup'], ['Iced Tea', 'Lemonade', 'Nacho Bell Grande Beef', 'Bacon And Egg Pie'], ['Iced Tea', 'Black Bean Chalupa Copycat', 'Water', 'Bacon Candy'], ['Iced Tea', 'Deviled Egg Salad', 'Bean Burrito Copycat', 'Black Bean Chalupa Copycat'], ['Iced Tea', 'Mini Egg Pie', 'Apple Pie', 'Peekaboo Sugar Eggs'], ['Iced Tea', 'Egg Drop Chicken Noodle Soup', 'Mcdonaldâ€™s Bacon Ranch Mccrispy', 'Quesadilla Copycat'], ['Iced Tea', 'Bacon And Egg Pie', 'Pumpkin Soup', 'How To Make Egg Salad']]","[0.916667, 0.916667, 0.916667, 0.833333, 0.833333, 0.833333, 0.75, 0.75, 0.75, 0.75]",0.6,1.0,1.0,1.0,1.0,1.0,0.475
9,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Hot Chocolate,"[['Hot Chocolate', 'My Scotch Eggs', 'Sweet Tea', 'Supremely Spicy Scrambled Eggs'], ['Hot Chocolate', 'Crunchwrap Supreme Copycat', 'Crunchy Taco', 'Iced Tea'], ['Hot Chocolate', 'Iced Coffee', 'Coffee', 'Cheesy Gordita Crunch Copycat'], ['Hot Chocolate', 'Egg In An Avocado Hole', 'Nacho Bell Grande Beef', 'Water'], ['Hot Chocolate', 'Cheesy Bean Rice Burrito', 'Smoothie', 'Ginger Ale'], ['Hot Chocolate', 'Honey Vanilla Almond Cake', 'Water', 'Quarter Pounder'], ['Hot Chocolate', 'Supremely Spicy Scrambled Eggs', 'Quesadilla Copycat', 'Tomato Juice'], ['Hot Chocolate', 'Crunchy Taco', 'Mini Egg Pie', 'Pepsi'], ['Hot Chocolate', 'My Scotch Eggs', 'Bacon And Egg Pie', 'Bacon Asparagus And Egg Bake'], ['Hot Chocolate', 'Cheesy Bean Rice Burrito', 'Egg In An Avocado Hole', 'Bakedfriedpan Fried Scotch Egg']]","[0.833333, 0.833333, 0.916667, 0.833333, 0.916667, 0.833333, 0.833333, 0.833333, 0.75, 0.75]",0.8,1.0,1.0,1.0,1.0,1.0,0.5
10,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Apple Juice,"[['Apple Juice', 'Iced Coffee', 'Lemonade', '2 Ingredient Avocado Egg Salad'], ['Apple Juice', 'Fruit Punch', 'Bacon And Egg Pie', 'Supremely Spicy Scrambled Eggs'], ['Apple Juice', 'Chai Latte', 'Blt Quarter Punder', 'Baklava'], ['Apple Juice', 'Deviled Egg Salad', 'Crunchwrap Supreme Copycat', 'Cappuccino'], ['Apple Juice', 'Egg In An Avocado Hole', 'Lite Fried Okra', 'Hot Chocolate'], ['Apple Juice', 'Deviled Eggs With Smoked Salmon And Capers', 'How To Make Egg Salad', 'Caramel Nut Tart'], ['Apple Juice', 'Bakedfriedpan Fried Scotch Egg', 'Deviled Eggs With Smoked Salmon And Capers', 'Bacon And Egg Pie'], ['Apple Juice', 'Crunchwrap Supreme Copycat', 'Bean Burrito Copycat', 'Supremely Spicy Scrambled Eggs'], ['Apple Juice', 'Egg Mcmuffin', 'Bacon Asparagus And Egg Bake', 'How To Make Egg Omelettes'], ['Apple Juice', 'Supremely Spicy Scrambled Eggs', 'Nacho Bell Grande Beef', 'Lite Fried Okra']]","[0.916667, 0.833333, 0.833333, 0.833333, 0.833333, 0.75, 0.75, 0.75, 0.75, 0.75]",0.5,1.0,1.0,1.0,1.0,1.0,0.4
11,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Pepsi,"[['Pepsi', 'Mcgriddle', 'Espresso', 'Milk'], ['Pepsi', 'Caramel Cappucino', 'Hot Tea', 'Honey Vanilla Almond Cake'], ['Pepsi', 'Espresso', 'Cheesy Gordita Crunch Copycat', 'Coffee'], ['Pepsi', 'Egg Bundles', 'Water', 'Sweet Tea'], ['Pepsi', 'Deviled Egg Salad', 'Apple Pie', 'Water'], ['Pepsi', 'Baklava', 'Iced Coffee', 'Mcgriddle'], ['Pepsi', 'Peekaboo Sugar Eggs', 'Lemonade', 'Cadbury Creme Egg Rolls'], ['Pepsi', 'Mcdonaldâ€™s Bacon Ranch Mccrispy', 'Supremely Spicy Scrambled Eggs', 'Egg Bundles'], ['Pepsi', 'Egg In An Avocado Hole', 'Quarter Pounder', 'Egg Drop Chicken Noodle Soup'], ['Pepsi', 'Pumpkin Soup', '2 Ingredient Avocado Egg Salad', 'Crunchwrap Supreme Copycat']]","[0.916667, 0.916667, 0.916667, 0.916667, 0.833333, 0.833333, 0.833333, 0.75, 0.75, 0.75]",0.7,1.0,1.0,1.0,1.0,1.0,0.525
12,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Cappuccino,"[['Cappuccino', 'Quesadilla Copycat', 'Cadbury Creme Egg Rolls', 'Orange Juice'], ['Cappuccino', 'Almond Milk', 'Cranberry Juice', '2 Ingredient Avocado Egg Salad'], ['Cappuccino', 'Caramel Cappucino', 'Bean Burrito Copycat', 'Tea'], ['Cappuccino', 'Cheesy Gordita Crunch Copycat', 'Egg Bundles', 'Sprite'], ['Cappuccino', 'Delicious Chocolate Bark Recipe', 'Fruit Punch', 'Green Tea'], ['Cappuccino', 'Peekaboo Sugar', 'Cranberry Juice', 'How To Make Egg Salad'], ['Cappuccino', 'How To Make Chinese Egg Tarts', 'Orange Juice', 'Hot Chocolate'], ['Cappuccino', 'Hot Tea', 'Orange Juice', 'Deviled Eggs With Smoked Salmon And Capers'], ['Cappuccino', 'My Scotch Eggs', 'Egg Filled Bread Roll', 'Apple Pie'], ['Cappuccino', 'Quarter Pounder', 'Peekaboo Sugar', 'Big Mac']]","[0.833333, 0.916667, 0.916667, 0.833333, 0.916667, 0.833333, 0.916667, 0.916667, 0.75, 0.75]",0.8,1.0,1.0,1.0,1.0,1.0,0.575
