meal_request_id,user_id,name,meal_occasion,required_categories,target_item,recommended_meals,goodness,avg_redundancy,avg_setsize,avg_coverage,avg_krobust,avg_dm_proxy,avg_mc_proxy,avg_uc_proxy
0,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Coffee,"[['Coffee', 'Milk', 'Tea', 'Coconut Water'], ['Coffee', 'Apple Juice', 'Cranberry Juice', 'Tea'], ['Coffee', 'Tea', 'Apple Juice', 'Milk'], ['Coffee', 'Cranberry Juice', 'Coconut Water', 'Tea'], ['Coffee', 'Tea', 'Milk', 'Iced Coffee'], ['Coffee', 'Coconut Water', 'Cranberry Juice', 'Iced Coffee'], ['Coffee', 'Milk', 'Apple Juice', 'Coconut Water']]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Tea,"[['Tea', 'Coconut Water', 'Apple Juice', 'Iced Coffee'], ['Tea', 'Apple Juice', 'Cranberry Juice', 'Milk'], ['Tea', 'Iced Coffee', 'Cranberry Juice', 'Apple Juice'], ['Tea', 'Iced Coffee', 'Milk', 'Cranberry Juice'], ['Tea', 'Cranberry Juice', 'Iced Coffee'], ['Tea', 'Coconut Water', 'Apple Juice'], ['Tea', 'Apple Juice', 'Milk'], ['Tea', 'Iced Coffee', 'Milk'], ['Tea', 'Milk', 'Cranberry Juice']]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.8611,1.0,1.0,1.0,1.0,1.0
2,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Orange Juice,"[['Orange Juice', 'Milk', 'Apple Juice', 'Coconut Water'], ['Orange Juice', 'Iced Coffee', 'Tea', 'Apple Juice'], ['Orange Juice', 'Milk', 'Iced Coffee', 'Coconut Water'], ['Orange Juice', 'Milk', 'Tea', 'Cranberry Juice'], ['Orange Juice', 'Coconut Water', 'Iced Coffee', 'Tea'], ['Orange Juice', 'Tea', 'Apple Juice', 'Coconut Water'], ['Orange Juice', 'Coconut Water', 'Cranberry Juice', 'Iced Coffee'], ['Orange Juice', 'Milk', 'Apple Juice', 'Iced Coffee']]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Cola,"[['Cola', 'Coconut Water', 'Iced Coffee', 'Tea'], ['Cola', 'Coconut Water', 'Milk', 'Apple Juice'], ['Cola', 'Tea', 'Cranberry Juice', 'Apple Juice'], ['Cola', 'Milk', 'Apple Juice', 'Cranberry Juice'], ['Cola', 'Iced Coffee', 'Cranberry Juice', 'Tea'], ['Cola', 'Cranberry Juice', 'Iced Coffee', 'Milk'], ['Cola', 'Iced Coffee', 'Coconut Water', 'Milk'], ['Cola', 'Coconut Water', 'Cranberry Juice', 'Tea']]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Water,"[['Water', 'Cranberry Juice', 'Coconut Water', 'Apple Juice'], ['Water', 'Cranberry Juice', 'Coconut Water', 'Iced Coffee'], ['Water', 'Tea', 'Cranberry Juice', 'Iced Coffee'], ['Water', 'Cranberry Juice', 'Milk', 'Iced Coffee'], ['Water', 'Apple Juice', 'Iced Coffee', 'Tea'], ['Water', 'Apple Juice', 'Coconut Water', 'Milk'], ['Water', 'Iced Coffee', 'Tea', 'Coconut Water'], ['Water', 'Coconut Water', 'Milk', 'Cranberry Juice'], ['Water', 'Milk', 'Iced Coffee', 'Apple Juice'], ['Water', 'Coconut Water', 'Milk', 'Iced Coffee']]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Milk,"[['Milk', 'Apple Juice', 'Tea', 'Coconut Water'], ['Milk', 'Apple Juice', 'Cranberry Juice', 'Tea'], ['Milk', 'Iced Coffee', 'Coconut Water', 'Apple Juice'], ['Milk', 'Tea', 'Iced Coffee', 'Apple Juice'], ['Milk', 'Apple Juice', 'Tea'], ['Milk', 'Iced Coffee', 'Coconut Water'], ['Milk', 'Iced Coffee', 'Tea'], ['Milk', 'Tea', 'Coconut Water'], ['Milk', 'Iced Coffee', 'Apple Juice']]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.8611,1.0,1.0,1.0,1.0,1.0
6,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Smoothie,"[['Smoothie', 'Apple Juice', 'Cranberry Juice', 'Iced Coffee'], ['Smoothie', 'Coconut Water', 'Tea', 'Milk'], ['Smoothie', 'Coconut Water', 'Tea', 'Apple Juice'], ['Smoothie', 'Iced Coffee', 'Apple Juice', 'Coconut Water'], ['Smoothie', 'Tea', 'Milk', 'Cranberry Juice'], ['Smoothie', 'Milk', 'Apple Juice', 'Iced Coffee'], ['Smoothie', 'Cranberry Juice', 'Apple Juice', 'Tea'], ['Smoothie', 'Apple Juice', 'Coconut Water', 'Cranberry Juice']]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Lemonade,"[['Lemonade', 'Tea', 'Coconut Water', 'Milk'], ['Lemonade', 'Milk', 'Cranberry Juice', 'Tea'], ['Lemonade', 'Iced Coffee', 'Tea', 'Cranberry Juice'], ['Lemonade', 'Milk', 'Iced Coffee', 'Coconut Water'], ['Lemonade', 'Cranberry Juice', 'Milk', 'Apple Juice'], ['Lemonade', 'Tea', 'Coconut Water', 'Cranberry Juice'], ['Lemonade', 'Coconut Water', 'Milk', 'Apple Juice'], ['Lemonade', 'Iced Coffee', 'Tea', 'Milk'], ['Lemonade', 'Iced Coffee', 'Coconut Water', 'Tea']]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Iced Tea,"[['Iced Tea', 'Tea', 'Milk', 'Iced Coffee'], ['Iced Tea', 'Coconut Water', 'Apple Juice', 'Tea'], ['Iced Tea', 'Apple Juice', 'Iced Coffee', 'Milk'], ['Iced Tea', 'Coconut Water', 'Iced Coffee', 'Apple Juice'], ['Iced Tea', 'Cranberry Juice', 'Milk', 'Coconut Water'], ['Iced Tea', 'Cranberry Juice', 'Iced Coffee', 'Apple Juice'], ['Iced Tea', 'Iced Coffee', 'Cranberry Juice', 'Milk'], ['Iced Tea', 'Cranberry Juice', 'Apple Juice', 'Milk'], ['Iced Tea', 'Iced Coffee', 'Coconut Water', 'Milk']]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,user_2_snacks,Daniela Morales,snacks,{'Beverage'},Hot Chocolate,"[['Hot Chocolate', 'Coconut Water', 'Tea', 'Apple Juice'], ['Hot Chocolate', 'Tea', 'Iced Coffee', 'Milk'], ['Hot Chocolate', 'Milk', 'Coconut Water', 'Apple Juice'], ['Hot Chocolate', 'Apple Juice', 'Iced Coffee', 'Cranberry Juice'], ['Hot Chocolate', 'Iced Coffee', 'Apple Juice', 'Milk'], ['Hot Chocolate', 'Coconut Water', 'Cranberry Juice', 'Milk'], ['Hot Chocolate', 'Tea', 'Milk', 'Cranberry Juice'], ['Hot Chocolate', 'Cranberry Juice', 'Coconut Water', 'Apple Juice'], ['Hot Chocolate', 'Cranberry Juice', 'Iced Coffee', 'Coconut Water'], ['Hot Chocolate', 'Milk', 'Cranberry Juice', 'Iced Coffee']]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
