researcher_name,avg_goodness_per_row,volume,row_count
"Agostinelli, Forest",0.36260421658986175,10.0,434
"Ahmad, Iftikhar",0.35838147465437786,10.0,434
"Alexeev, Oleg S.",0.41011184331797235,10.0,434
"Ali, Mohammod",0.4321639861751152,10.0,434
"Ammal, Salai C.",0.3105054377880184,10.0,434
"Bakos, Jason D. ",0.3285254608294931,10.0,434
"Banerjee, Sourav ",0.33852278801843316,10.0,434
"Bayat, Mahmoud",0.34223027649769583,10.0,434
"Bayoumi, Abdel-Moez E. ",0.47384313364055297,10.0,434
"Benigni, Andrea",0.30068315668202766,10.0,434
"Berge, Nicole D.",0.46217364055299537,10.0,434
"Besmann, Theodore  M.",0.30678046082949306,10.0,434
"Bischoff, Jeff ",0.36305880184331796,10.0,434
"Blanchette, James  Otto",0.4562016129032258,10.0,434
"Boltin, Nicholas D.",0.45380013824884796,10.0,434
"Booth, Kristen",0.309411198156682,10.0,434
"Brookshire, Robert G., Ph.D.",0.43986758064516124,10.0,434
"Broughton, Earnie",0.4041332949308755,10.0,434
"Buell, Duncan A.",0.4759714055299539,10.0,434
"Caicedo, Juan",0.41985195852534557,10.0,434
"Carrilho, Leo ",0.33521942396313364,10.0,434
"Carver, Wayne",0.40763322580645156,10.0,434
"Chandrashekhar, MVS",0.3381001382488479,10.0,434
"Chao, Yuh J. ",0.39760433179723503,10.0,434
"Chaudhry, Hanif",0.3230775576036866,10.0,434
"Chen, Fanglin (Frank)",0.3600873502304147,10.0,434
"Chen, Yinchao",0.302478732718894,10.0,434
"Chen, Yuche",0.34643649769585255,10.0,434
"Cheng, Xu",0.3734418202764977,10.0,434
"Cole, Casey",0.3160631797235023,10.0,434
"Coman, Paul",0.3155229723502304,10.0,434
"Crichigno, Jorge",0.3387823271889401,10.0,434
"Cui, Taixing",0.32494705069124424,10.0,434
"De Backer, Wout",0.3198033179723502,10.0,434
"Deng, Xiaomin ",0.3489218202764977,10.0,434
"Devereux, Emily",0.429843064516129,10.0,434
